French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
vont,will
revoir,meet again
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
dont,whose
trouve,find
premier,first
côté,side
pouvoir,power
vieux,old
tiens,here
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
